20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Nós precisamos das reformas. O Brasil só poderá andar para frente de verdade se aprovarmos essas reformas. Logicamente essa reforma não é minha, não é do Paulo Guedes, é do Brasil, é de todos nós. E com essas reformas nós deslancharemos.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Meus amigos do campo eu também já plantei trinta hectares de arroz lá em Nioaque, Mato grosso do Sul, terra da nossa querida Tereza Cristina. Eu senti na pele o que é plantar, o que é produzir. Não é fácil. São desafios, são batalhas, é trabalho de sol a sol, de segunda a segunda. Contem com alguém agora na Presidência que não vai mais atrapalhá-los, ou melhor, estará ao lado de vocês, para que vocês possam ter a devida segurança jurídica para poder plantar e produzir.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Muitas medidas passam pelo parlamento. O meu compromisso da arma em parte foi atendido, conseguindo driblar a efetiva necessidade e dando o direito de conseguir uma arma de fogo.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Meus senhores, minhas senhoras, se estou aqui é porque acredito em vocês. Se vocês estão aqui, é porque acreditam no nosso Brasil. Não existe um país mais bonito, mais maravilhoso do que o nosso e a chance de fazê-lo ainda melhor Deus quis através de nosso trabalho à frente da Presidência apoiado por vocês, bem como escolher um time de 22 ministros. E digo mais, temos tantos os homens quanto as mulheres no nosso ministério, que a Cristina e a Damares, cada uma vale por 10 outros ministros e ninguém, e ninguém, vai dizer que estou errado.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  Então o time de ministros, escolhidos de acordo com aquilo que anunciamos em campanha, amigos e soldados de todos vocês. Temos um ministério que os ministros falam entre si, que buscam soluções e que se empenham para que vocês, ou melhor, todos do Brasil, possam realmente sonhar com dias que nós merecemos.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | A todos vocês, se apresentando agora como um soldado de vocês, a comando da Tereza Cristina, saudando Alceu como novo presidente da Frente Parlamentar, é que estamos à disposição de vocês para fazermos o Brasil que todos nós merecemos.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Muito obrigado a todos vocês. Deus nos abençoe.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Ouça a íntegra (04min48s) do discurso do Presidente.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Confesso que estou emocionado e me sinto muito honrado em me dirigir a uma 
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | plateia tão seleta.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Hoje em dia, um precisa do outro. O Brasil precisa de vocês e vocês, com toda
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 |  certeza, em parte, precisam do nosso querido Brasil.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 |  
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Boa tarde a todos!
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Agradeço a honra de me dirigir aos senhores já na abertura desta sessão plenária.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Esta é a primeira viagem internacional que realizo após minha eleição, prova da importância que atribuo às pautas que este Fórum tem promovido e priorizado.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Esta viagem também é para mim uma grande oportunidade de mostrar para o mundo o momento único em que vivemos em meu País e para apresentar a todos o novo Brasil que estamos construindo.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Nas eleições, mesmo gastando menos de 1 milhão de dólares e com apenas poucos segundos de televisão e sendo injustamente atacado a todo tempo, conseguimos a vitória.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Assumi o Brasil em uma profunda crise ética, moral e econômica.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Temos o compromisso de mudar a nossa história.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Pela primeira vez no Brasil, um presidente montou uma equipe de ministros qualificados. Honrando o compromisso de campanha, não aceitando ingerências político-partidárias, que, no passado, apenas geraram ineficiência do Estado e corrupção.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Gozamos de credibilidade para fazer as reformas que precisamos e que o mundo espera de todos nós.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Aqui entre nós, meu ministro da Justiça, Sérgio Moro, o homem certo para o combate à corrupção e para o combate à lavagem de dinheiro.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Vamos investir pesado na segurança para que vocês nos visitem com suas famílias, pois somos um dos países primeiros em belezas naturais, mas não estamos entre os 40 destinos turísticos mais visitados do mundo. Conheçam a nossa Amazônia, nossas praias, nossas cidades, nosso Pantanal. O Brasil é um paraíso, mas ainda muito pouco conhecido.
22/01/2019 13h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-abertura-da-sessao-plenaria-do-forum-economico-mundial-2019 | Somos o País que mais preserva o meio ambiente. Nenhum outro país do mundo tem tantas florestas como nós. A agricultura se faz presente em apenas 9% do nosso território e cresce graças à sua tecnologia e graças à competência do nosso produtor rural. Menos de 20% do nosso solo é dedicado à pecuária. Essas commodities, em grande parte, garantem superávit em nossa balança comercial e alimentam boa parte do mundo.
